"sequence","modelfile","diff"
"0","modelmania/modelmania_00000.keras","14323.833988681436"
"1","modelmania/modelmania_00001.keras","24998.976827591658"
"2","modelmania/modelmania_00002.keras","989.760368979536"
"3","modelmania/modelmania_00003.keras","8608.230392068624"
"4","modelmania/modelmania_00004.keras","55673.833409786224"
"5","modelmania/modelmania_00005.keras","3125.0035758018494"
"6","modelmania/modelmania_00006.keras","796.4597839973867"
"7","modelmania/modelmania_00007.keras","6019.821516036987"
"8","modelmania/modelmania_00008.keras","3825.731645986438"
"9","modelmania/modelmania_00009.keras","684.892299273517"
"10","modelmania/modelmania_00010.keras","6229.201232910156"
"11","modelmania/modelmania_00011.keras","13324.811309799552"
"12","modelmania/modelmania_00012.keras","3397.6098443232477"
"13","modelmania/modelmania_00013.keras","2052.5689989160746"
"14","modelmania/modelmania_00014.keras","2340.9340772628784"
"15","modelmania/modelmania_00015.keras","6226.890303134918"
"16","modelmania/modelmania_00016.keras","2318.750099170953"
"17","modelmania/modelmania_00017.keras","4960.338710784912"
"18","modelmania/modelmania_00018.keras","2375.561909198761"
"19","modelmania/modelmania_00019.keras","334.552402369678"
"20","modelmania/modelmania_00020.keras","3196.509914278984"
"21","modelmania/modelmania_00021.keras","2362.663508588448"
"22","modelmania/modelmania_00022.keras","1349.141145077534"
"23","modelmania/modelmania_00023.keras","19733.942624807358"
"24","modelmania/modelmania_00024.keras","4913.115416295826"
"25","modelmania/modelmania_00025.keras","716.9859466454946"
"26","modelmania/modelmania_00026.keras","1718.9760020039976"
"27","modelmania/modelmania_00027.keras","19532.318570017815"
"28","modelmania/modelmania_00028.keras","3988.545062303543"
"29","modelmania/modelmania_00029.keras","4897.579289376736"
"30","modelmania/modelmania_00030.keras","21021.378200650215"
"31","modelmania/modelmania_00031.keras","4656.344777345657"
"32","modelmania/modelmania_00032.keras","5554.131622672081"
"33","modelmania/modelmania_00033.keras","4783.285614132881"
"34","modelmania/modelmania_00034.keras","889.3152917381376"
"35","modelmania/modelmania_00035.keras","3124.606587767601"
"36","modelmania/modelmania_00036.keras","4176.821165956557"
"37","modelmania/modelmania_00037.keras","1770.3980396911502"
"38","modelmania/modelmania_00038.keras","3888.9706535339355"
"39","modelmania/modelmania_00039.keras","10936.149424552917"
"40","modelmania/modelmania_00040.keras","10365.831579528749"
"41","modelmania/modelmania_00041.keras","1498.6523122265935"
"42","modelmania/modelmania_00042.keras","1500.242721409537"
"43","modelmania/modelmania_00043.keras","9091.78067073971"
"44","modelmania/modelmania_00044.keras","3102.005776822567"
